True Solar,True Wind,Predicted Mean Solar,Predicted Mean Wind,Predicted Std. Dev. Solar,Predicted Std. Dev. Wind
0.56071,0.16184518,0.6270672,0.15550749,0.09935155,0.07933486
0.5395435,0.1676187,0.60903513,0.154297,0.098509215,0.07896532
0.5168715,0.17216814,0.590339,0.15310125,0.09784592,0.078603715
0.49258897,0.16299787,0.57049507,0.15187596,0.097464114,0.07823549
0.46617898,0.17148852,0.5498967,0.15064546,0.097205505,0.07784343
0.4388795,0.16998614,0.52782303,0.14941496,0.09704141,0.077417925
0.41076875,0.1567849,0.5049031,0.14824766,0.09675206,0.076939665
0.3822955,0.12521802,0.4803407,0.1443794,0.09615281,0.076128155
0.35279024,0.11936434,0.45155987,0.12722921,0.09416909,0.07355047
0.32162973,0.104912065,0.4226884,0.11103456,0.092388704,0.070831984
0.29018652,0.09482728,0.39294308,0.09615044,0.09081988,0.067791104
0.2579925,0.08116184,0.3616071,0.082690656,0.08921122,0.06448361
0.22561964,0.07690248,0.33008614,0.07055018,0.0875753,0.06080702
0.19323476,0.063340925,0.29864806,0.059666853,0.086076096,0.056600522
0.16051178,0.052710254,0.26698172,0.049376097,0.08481091,0.051447727
0.12934469,0.04424641,0.23401764,0.03974112,0.083583824,0.045331664
0.1002023,0.03803039,0.20007497,0.03099787,0.08251942,0.03863568
0.07405325,0.033131257,0.16424376,0.024144368,0.0815742,0.03261691
0.05153485,0.026539106,0.12867947,0.0187409,0.079982,0.027991215
0.03395015,0.02286805,0.09469406,0.014556389,0.07602599,0.025281906
0.02233874,0.017379943,0.06260607,0.011354847,0.070608936,0.024159413
0.017033773,0.015625235,0.034434814,0.008508853,0.06384924,0.023696493
0.011240432,0.011432762,0.013444998,0.0067843855,0.057868674,0.023237098
0.00184998,0.008727961,0.00035697184,0.0058399905,0.05537531,0.0230821
0.0,0.007205147,-0.007405181,0.0054697464,0.054574784,0.023324803
0.0,0.005262592,-0.01230749,0.005609777,0.054113504,0.023537051
0.0,0.004626053,-0.014956101,0.005711608,0.05385493,0.02371767
0.0,0.0037120662,-0.014562171,0.0058396887,0.053676378,0.023760837
0.0,0.003225479,-0.013480575,0.0059612165,0.05349915,0.023751087
0.0,0.0024680707,-0.012329848,0.0060221823,0.053380113,0.023713756
0.0,0.0018283364,-0.011558967,0.0060167667,0.053353366,0.023687717
0.0,0.0017127695,-0.011187719,0.0059694857,0.053371154,0.023685712
0.0,0.001423055,-0.011072635,0.0058885603,0.053401403,0.023693837
0.0,0.00121576,-0.011209399,0.0058347518,0.053405903,0.023705008
0.0,0.0011529172,-0.01142633,0.00580931,0.053403612,0.023731926
0.0,0.0013549486,-0.011444682,0.0057666902,0.0534465,0.023746347
0.0,0.0009949898,-0.011613076,0.0057558035,0.0534368,0.0237628
0.0,0.0009843078,-0.011726473,0.0057216664,0.05345007,0.023776673
0.0,0.0009064143,-0.0119181415,0.005695084,0.05344604,0.02379253
0.0,0.00085026986,-0.012180102,0.005689946,0.053419966,0.023812037
0.0,0.0012050436,-0.012426379,0.0056977267,0.05338606,0.023829812
0.0,0.0012074675,-0.012729092,0.005749183,0.053299535,0.023849208
0.0,0.0011164206,-0.012935497,0.0058003836,0.05322223,0.023866424
0.0,0.0011721556,-0.013081321,0.005836305,0.053172622,0.023879616
0.0,0.0012083707,-0.013229957,0.005859888,0.0531441,0.023893846
0.0,0.0012499456,-0.013393955,0.0058757095,0.053125776,0.02390998
0.0,0.0013951422,-0.013565025,0.00588618,0.053117823,0.023925595
0.0,0.001511065,-0.013811916,0.0058902996,0.0531223,0.02394506
0.0,0.0016378348,-0.014112752,0.005931482,0.05310313,0.023978444
0.0,0.001702693,-0.014263722,0.0059783254,0.053080425,0.024003332
0.0,0.0013146413,-0.014325196,0.006009541,0.053062957,0.02401633
0.0,0.001457097,-0.014363765,0.0060310513,0.05305057,0.02402796
0.0,0.0014073577,-0.014411712,0.0060448376,0.053041168,0.024037292
0.0,0.0016283232,-0.01455326,0.00605,0.0530366,0.024050036
